Date,Open,High,Low,Close,Adj Close,Volume
2011-05-18,12200,12340,12200,12260,0.021119,636450
2011-05-19,12300,12300,12000,12000,0.020671,328200
2011-05-20,12000,12000,11760,11860,0.02043,1324450
2011-05-23,11860,11900,11740,11840,0.020395,182700
2011-05-24,11780,11840,11600,11600,0.019982,678450
2011-05-25,11700,11840,11680,11700,0.020154,988750
2011-05-26,11700,11900,11640,11840,0.020395,565150
2011-05-27,11880,11960,11800,11900,0.020499,708000
2011-05-30,11840,11900,11700,11780,0.020292,538900
2011-05-31,11780,12040,11780,11960,0.020602,1382850
2011-06-01,12000,12020,11900,11980,0.020637,322350
2011-06-02,11780,11980,11720,11880,0.020464,670300
2011-06-03,11940,11940,11740,11800,0.020326,428500
2011-06-07,11800,11800,11660,11720,0.020189,537100
2011-06-08,11760,12000,11660,11840,0.020395,2318900
2011-06-09,11980,12060,11780,11800,0.020326,1875900
2011-06-10,11980,12040,11860,11920,0.020533,1147950
2011-06-13,11660,11820,11640,11780,0.020292,165750
2011-06-14,11820,12000,11680,12000,0.020671,463550
2011-06-15,11860,11980,11820,11980,0.020637,767750
2011-06-16,11940,11940,11840,11880,0.020464,1312950
2011-06-17,11800,11860,11380,11700,0.020154,1843850
2011-06-20,11580,11600,11200,11200,0.019293,1059900
2011-06-21,11140,11320,11140,11300,0.019465,790850
2011-06-22,11380,11460,11340,11440,0.019706,895650
2011-06-23,11480,11540,11400,11460,0.019741,426300
2011-06-24,11340,11600,11300,11560,0.019913,1016050
2011-06-27,11440,11480,11100,11120,0.019155,1372150
2011-06-28,11220,11320,11080,11080,0.019086,720600
2011-06-29,11200,11280,11040,11080,0.019988,977100
2011-06-30,10980,11200,10920,11200,0.020205,1356150
2011-07-01,11200,11500,11200,11500,0.020746,1070650
2011-07-04,11600,11880,11540,11760,0.021215,1207900
2011-07-05,11820,12080,11740,12080,0.021792,1136700
2011-07-06,12000,12100,11900,12100,0.021828,456200
2011-07-07,12060,12100,12000,12060,0.021756,1233550
2011-07-08,12060,12140,12000,12060,0.021756,815850
2011-07-11,12040,12180,11900,12120,0.021864,608050
2011-07-12,11960,12060,11840,11960,0.021576,708750
2011-07-13,11940,11940,11740,11860,0.021395,376700
2011-07-14,11800,11800,11280,11400,0.020565,667600
2011-07-15,11320,11480,11280,11420,0.020602,1933750
2011-07-18,11300,11320,11180,11180,0.020169,664300
2011-07-19,11040,11200,11040,11180,0.020169,745500
2011-07-20,11280,11460,11280,11400,0.020565,970300
2011-07-21,11400,11400,11300,11380,0.020529,365750
2011-07-22,11420,11500,11380,11420,0.020602,640050
2011-07-25,11360,11380,11020,11380,0.020529,738850
2011-07-26,11280,11420,11260,11400,0.020565,456750
2011-07-27,11360,11440,11260,11260,0.020313,537000
2011-07-28,11060,11360,11060,11320,0.020421,253400
2011-07-29,11320,11360,11240,11240,0.020277,439550
2011-08-01,11400,11600,11220,11580,0.02089,1227750
2011-08-02,11600,11620,11400,11460,0.020674,814900
2011-08-03,11380,11400,11080,11160,0.020133,257950
2011-08-04,11300,11300,10980,11060,0.019952,493750
2011-08-05,10780,10880,10660,10660,0.019231,590500
2011-08-08,10660,10660,10260,10260,0.018509,716200
2011-08-09,10020,10120,9370,9580,0.017282,1133300
2011-08-10,10080,10100,9810,9880,0.017823,1428900
2011-08-11,9200,9850,9200,9800,0.017679,982800
2011-08-12,9780,9960,9690,9760,0.017607,1049250
2011-08-16,10040,10300,9970,10300,0.018581,1543250
2011-08-17,10100,10300,10040,10220,0.018437,837500
2011-08-18,10360,10360,9910,10040,0.018112,1032100
2011-08-19,9450,9900,9450,9760,0.017607,845150
2011-08-22,9760,9880,9590,9800,0.017679,715450
2011-08-23,10000,10240,9800,9980,0.018004,755550
2011-08-24,9730,10160,9730,9920,0.017896,1633250
2011-08-25,10220,10380,10180,10280,0.018545,987950
2011-08-26,10280,10360,10160,10360,0.018689,385250
2011-08-29,10540,10560,10120,10400,0.018761,493000
2011-08-30,10480,10740,10400,10640,0.019194,415900
